"Wi-Fi Compatibility Table - Pci-Express, Mini Pci-Express and M.2 (NGFF) for macOS",,,,,,,,,,,,,,,,,,
Card model no. ,Vendor ID: Device ID,802.11+ Bluetooth,Bluetooth model,Bluetooth USB-ID and stability,MIMO,2.4GHz Speed ,5GHz Speed ,Mac OS X 10.6 Support,Mac OS X 10.7 Support,Mac OS X 10.8 Support,macOS 10.9 Support,macOS 10.10 Support,macOS 10.11 Support,macOS 10.12 Support,macOS 10.13 Support,macOS 10.14 Support,macOS 10.15 Support,macOS 11 Support
"Original Model, Broadcom Apple (full-size):  installed via PCIE-X1 or mPCIE adapter and (NGFF, M.2) ",,,,,,,,,,,,,,,,,,
BCM943224PCIEBT2BX,[14e4:4353],a/b/g/n+ bt 4.0,,,2x2,150 Mbit/s,300 Mbit/s,--,YES,YES,YES,YES,YES,YES,YES,YES,YES,DeviceID spoof to BCM94360
BCM943224PCIEBT2,[14e4:4353],a/b/g/n+ bt 4.0,,,2x2,150 Mbit/s,300 Mbit/s,--,YES,YES,YES,YES,YES,YES,YES,YES,YES,DeviceID spoof to BCM94360
BCM94331CSAX,[14e4:4331],a/b/g/n+ bt 4.0,,,3x3,150 Mbit/s,450 Mbit/s,--,--,10.8.5+YES,YES,YES,YES,YES,YES,YES,Force  IO80211Family,DeviceID spoof to BCM94360
BCM94331CD,[14e4:4331],a/b/g/n+ bt 4.0,,,3x3,150 Mbit/s,450 Mbit/s,--,--,10.8.5+YES,YES,YES,YES,YES,YES,YES,Force  IO80211Family,DeviceID spoof to BCM94360
BCM94360CS2,[14e4:43a0],a/g/n/ac+ bt 4.0,,,2x2,300 Mbit/s,867 Mbit/s,--,--,--,YES,YES,YES,YES,YES,YES,YES,YES
BCM94360CS,[14e4:43a0],a/g/n/ac+ bt 4.0,BRCM20702,,3x3,300 Mbit/s,1300 Mbit/s,--,--,--,YES,YES,YES,YES,YES,YES,YES,YES
BCM94360CD - Fenvi T919,[14e4:43a0],a/g/n/ac+ bt 4.0,BRCM20702,"[05ac:828d] Tested, stable",3x3,300 Mbit/s,1300 Mbit/s,--,--,--,YES,YES,YES,YES,YES,YES,YES,YES
BCM943602CDP,[14e4:43ba],a/g/n/ac+ bt 4.1,BRCM20703,[05ac:8290],3x3,300 Mbit/s,1300 Mbit/s,--,--,--,YES,YES,YES,YES,YES,YES,YES,YES
BCM943602CS,[14e4:43ba],a/g/n/ac+ bt 4.1,BRCM2045A0,[0a5c:f007] Unsupported,3x3,300 Mbit/s,1300 Mbit/s,--,--,--,YES,YES,YES,YES,YES,YES,YES,YES
